case_study,session_id,uid_local,group_local,uid_global,group_global,score,rank
case_study_1,1,uid11,1,case_study_1_1_uid11,case_study_1_1_1,4,7
case_study_1,1,uid11,2,case_study_1_1_uid11,case_study_1_1_2,5,3
case_study_1,1,uid11,3,case_study_1_1_uid11,case_study_1_1_3,3,10
case_study_1,1,uid11,4,case_study_1_1_uid11,case_study_1_1_4,4,6
case_study_1,1,uid11,5,case_study_1_1_uid11,case_study_1_1_5,5,2
case_study_1,1,uid11,6,case_study_1_1_uid11,case_study_1_1_6,4,4
case_study_1,1,uid11,7,case_study_1_1_uid11,case_study_1_1_7,5,1
case_study_1,1,uid11,8,case_study_1_1_uid11,case_study_1_1_8,4,5
case_study_1,1,uid11,9,case_study_1_1_uid11,case_study_1_1_9,3,9
case_study_1,1,uid11,10,case_study_1_1_uid11,case_study_1_1_10,3,8
case_study_1,1,uid12,1,case_study_1_1_uid12,case_study_1_1_1,3,9
case_study_1,1,uid12,2,case_study_1_1_uid12,case_study_1_1_2,5,1
case_study_1,1,uid12,3,case_study_1_1_uid12,case_study_1_1_3,5,4
case_study_1,1,uid12,4,case_study_1_1_uid12,case_study_1_1_4,4,7
case_study_1,1,uid12,5,case_study_1_1_uid12,case_study_1_1_5,5,3
case_study_1,1,uid12,6,case_study_1_1_uid12,case_study_1_1_6,5,2
case_study_1,1,uid12,7,case_study_1_1_uid12,case_study_1_1_7,3,8
case_study_1,1,uid12,9,case_study_1_1_uid12,case_study_1_1_9,3,10
case_study_1,1,uid12,8,case_study_1_1_uid12,case_study_1_1_8,4,5
case_study_1,1,uid12,10,case_study_1_1_uid12,case_study_1_1_10,4,6
case_study_1,1,uid13,1,case_study_1_1_uid13,case_study_1_1_1,4,8
case_study_1,1,uid13,2,case_study_1_1_uid13,case_study_1_1_2,5,4
case_study_1,1,uid13,3,case_study_1_1_uid13,case_study_1_1_3,3,10
case_study_1,1,uid13,4,case_study_1_1_uid13,case_study_1_1_4,5,3
case_study_1,1,uid13,5,case_study_1_1_uid13,case_study_1_1_5,4,7
case_study_1,1,uid13,6,case_study_1_1_uid13,case_study_1_1_6,5,1
case_study_1,1,uid13,7,case_study_1_1_uid13,case_study_1_1_7,3,9
case_study_1,1,uid13,8,case_study_1_1_uid13,case_study_1_1_8,5,2
case_study_1,1,uid13,9,case_study_1_1_uid13,case_study_1_1_9,4,6
case_study_1,1,uid13,10,case_study_1_1_uid13,case_study_1_1_10,4,5
case_study_1,1,uid14,1,case_study_1_1_uid14,case_study_1_1_1,4,10
case_study_1,1,uid14,2,case_study_1_1_uid14,case_study_1_1_2,5,6
case_study_1,1,uid14,3,case_study_1_1_uid14,case_study_1_1_3,4,9
case_study_1,1,uid14,4,case_study_1_1_uid14,case_study_1_1_4,5,5
case_study_1,1,uid14,5,case_study_1_1_uid14,case_study_1_1_5,5,7
case_study_1,1,uid14,6,case_study_1_1_uid14,case_study_1_1_6,5,1
case_study_1,1,uid14,7,case_study_1_1_uid14,case_study_1_1_7,4,8
case_study_1,1,uid14,8,case_study_1_1_uid14,case_study_1_1_8,5,3
case_study_1,1,uid14,10,case_study_1_1_uid14,case_study_1_1_10,5,2
case_study_1,1,uid14,9,case_study_1_1_uid14,case_study_1_1_9,5,4
case_study_1,1,uid15,1,case_study_1_1_uid15,case_study_1_1_1,4,9
case_study_1,1,uid15,2,case_study_1_1_uid15,case_study_1_1_2,5,5
case_study_1,1,uid15,3,case_study_1_1_uid15,case_study_1_1_3,4,8
case_study_1,1,uid15,4,case_study_1_1_uid15,case_study_1_1_4,5,4
case_study_1,1,uid15,5,case_study_1_1_uid15,case_study_1_1_5,4,7
case_study_1,1,uid15,6,case_study_1_1_uid15,case_study_1_1_6,5,3
case_study_1,1,uid15,7,case_study_1_1_uid15,case_study_1_1_7,4,10
case_study_1,1,uid15,8,case_study_1_1_uid15,case_study_1_1_8,5,2
case_study_1,1,uid15,9,case_study_1_1_uid15,case_study_1_1_9,5,6
case_study_1,1,uid15,10,case_study_1_1_uid15,case_study_1_1_10,5,1
case_study_1,1,uid16,1,case_study_1_1_uid16,case_study_1_1_1,5,4
case_study_1,1,uid16,2,case_study_1_1_uid16,case_study_1_1_2,5,5
case_study_1,1,uid16,3,case_study_1_1_uid16,case_study_1_1_3,2,10
case_study_1,1,uid16,4,case_study_1_1_uid16,case_study_1_1_4,5,2
case_study_1,1,uid16,5,case_study_1_1_uid16,case_study_1_1_5,4,8
case_study_1,1,uid16,6,case_study_1_1_uid16,case_study_1_1_6,5,3
case_study_1,1,uid16,7,case_study_1_1_uid16,case_study_1_1_7,4,9
case_study_1,1,uid16,8,case_study_1_1_uid16,case_study_1_1_8,4,6
case_study_1,1,uid16,9,case_study_1_1_uid16,case_study_1_1_9,5,1
case_study_1,1,uid16,10,case_study_1_1_uid16,case_study_1_1_10,4,7
case_study_1,1,uid17,1,case_study_1_1_uid17,case_study_1_1_1,4,10
case_study_1,1,uid17,2,case_study_1_1_uid17,case_study_1_1_2,5,2
case_study_1,1,uid17,3,case_study_1_1_uid17,case_study_1_1_3,4,9
case_study_1,1,uid17,4,case_study_1_1_uid17,case_study_1_1_4,4,8
case_study_1,1,uid17,5,case_study_1_1_uid17,case_study_1_1_5,5,1
case_study_1,1,uid17,6,case_study_1_1_uid17,case_study_1_1_6,5,6
case_study_1,1,uid17,7,case_study_1_1_uid17,case_study_1_1_7,5,3
case_study_1,1,uid17,8,case_study_1_1_uid17,case_study_1_1_8,4,7
case_study_1,1,uid17,9,case_study_1_1_uid17,case_study_1_1_9,5,5
case_study_1,1,uid17,10,case_study_1_1_uid17,case_study_1_1_10,5,4
case_study_1,1,uid18,1,case_study_1_1_uid18,case_study_1_1_1,5,6
case_study_1,1,uid18,2,case_study_1_1_uid18,case_study_1_1_2,5,4
case_study_1,1,uid18,3,case_study_1_1_uid18,case_study_1_1_3,4,10
case_study_1,1,uid18,4,case_study_1_1_uid18,case_study_1_1_4,4,9
case_study_1,1,uid18,6,case_study_1_1_uid18,case_study_1_1_6,5,3
case_study_1,1,uid18,5,case_study_1_1_uid18,case_study_1_1_5,5,1
case_study_1,1,uid18,7,case_study_1_1_uid18,case_study_1_1_7,4,8
case_study_1,1,uid18,8,case_study_1_1_uid18,case_study_1_1_8,5,2
case_study_1,1,uid18,9,case_study_1_1_uid18,case_study_1_1_9,5,5
case_study_1,1,uid18,10,case_study_1_1_uid18,case_study_1_1_10,4,7
case_study_1,1,uid19,1,case_study_1_1_uid19,case_study_1_1_1,4,10
case_study_1,1,uid19,2,case_study_1_1_uid19,case_study_1_1_2,5,4
case_study_1,1,uid19,3,case_study_1_1_uid19,case_study_1_1_3,5,1
case_study_1,1,uid19,4,case_study_1_1_uid19,case_study_1_1_4,5,5
case_study_1,1,uid19,5,case_study_1_1_uid19,case_study_1_1_5,4,7
case_study_1,1,uid19,6,case_study_1_1_uid19,case_study_1_1_6,5,3
case_study_1,1,uid19,8,case_study_1_1_uid19,case_study_1_1_8,5,2
case_study_1,1,uid19,7,case_study_1_1_uid19,case_study_1_1_7,4,6
case_study_1,1,uid19,9,case_study_1_1_uid19,case_study_1_1_9,4,8
case_study_1,1,uid19,10,case_study_1_1_uid19,case_study_1_1_10,4,9
case_study_1,1,uid22,1,case_study_1_1_uid22,case_study_1_1_1,5,7
case_study_1,1,uid22,2,case_study_1_1_uid22,case_study_1_1_2,5,6
case_study_1,1,uid22,3,case_study_1_1_uid22,case_study_1_1_3,4,10
case_study_1,1,uid22,4,case_study_1_1_uid22,case_study_1_1_4,5,3
case_study_1,1,uid22,5,case_study_1_1_uid22,case_study_1_1_5,5,4
case_study_1,1,uid22,6,case_study_1_1_uid22,case_study_1_1_6,5,2
case_study_1,1,uid22,7,case_study_1_1_uid22,case_study_1_1_7,4,9
case_study_1,1,uid22,8,case_study_1_1_uid22,case_study_1_1_8,5,8
case_study_1,1,uid22,9,case_study_1_1_uid22,case_study_1_1_9,5,1
case_study_1,1,uid22,10,case_study_1_1_uid22,case_study_1_1_10,5,5
case_study_1,1,uid23,1,case_study_1_1_uid23,case_study_1_1_1,5,8
case_study_1,1,uid23,2,case_study_1_1_uid23,case_study_1_1_2,5,6
case_study_1,1,uid23,3,case_study_1_1_uid23,case_study_1_1_3,4,9
case_study_1,1,uid23,4,case_study_1_1_uid23,case_study_1_1_4,5,1
case_study_1,1,uid23,5,case_study_1_1_uid23,case_study_1_1_5,5,7
case_study_1,1,uid23,6,case_study_1_1_uid23,case_study_1_1_6,5,2
case_study_1,1,uid23,7,case_study_1_1_uid23,case_study_1_1_7,5,5
case_study_1,1,uid23,8,case_study_1_1_uid23,case_study_1_1_8,5,4
case_study_1,1,uid23,9,case_study_1_1_uid23,case_study_1_1_9,4,10
case_study_1,1,uid23,10,case_study_1_1_uid23,case_study_1_1_10,5,3
case_study_1,1,uid25,1,case_study_1_1_uid25,case_study_1_1_1,3,9
case_study_1,1,uid25,2,case_study_1_1_uid25,case_study_1_1_2,4,4
case_study_1,1,uid25,3,case_study_1_1_uid25,case_study_1_1_3,3,10
case_study_1,1,uid25,4,case_study_1_1_uid25,case_study_1_1_4,5,3
case_study_1,1,uid25,5,case_study_1_1_uid25,case_study_1_1_5,4,8
case_study_1,1,uid25,6,case_study_1_1_uid25,case_study_1_1_6,5,2
case_study_1,1,uid25,7,case_study_1_1_uid25,case_study_1_1_7,4,7
case_study_1,1,uid25,8,case_study_1_1_uid25,case_study_1_1_8,5,1
case_study_1,1,uid25,9,case_study_1_1_uid25,case_study_1_1_9,4,6
case_study_1,1,uid25,10,case_study_1_1_uid25,case_study_1_1_10,4,5
case_study_1,1,uid26,1,case_study_1_1_uid26,case_study_1_1_1,4,6
case_study_1,1,uid26,2,case_study_1_1_uid26,case_study_1_1_2,4,8
case_study_1,1,uid26,3,case_study_1_1_uid26,case_study_1_1_3,3,10
case_study_1,1,uid26,4,case_study_1_1_uid26,case_study_1_1_4,5,4
case_study_1,1,uid26,5,case_study_1_1_uid26,case_study_1_1_5,4,5
case_study_1,1,uid26,6,case_study_1_1_uid26,case_study_1_1_6,5,1
case_study_1,1,uid26,7,case_study_1_1_uid26,case_study_1_1_7,4,7
case_study_1,1,uid26,8,case_study_1_1_uid26,case_study_1_1_8,5,3
case_study_1,1,uid26,9,case_study_1_1_uid26,case_study_1_1_9,4,9
case_study_1,1,uid26,10,case_study_1_1_uid26,case_study_1_1_10,5,2
case_study_1,1,uid27,1,case_study_1_1_uid27,case_study_1_1_1,3,10
case_study_1,1,uid27,2,case_study_1_1_uid27,case_study_1_1_2,5,1
case_study_1,1,uid27,3,case_study_1_1_uid27,case_study_1_1_3,4,4
case_study_1,1,uid27,4,case_study_1_1_uid27,case_study_1_1_4,4,7
case_study_1,1,uid27,5,case_study_1_1_uid27,case_study_1_1_5,5,2
case_study_1,1,uid27,7,case_study_1_1_uid27,case_study_1_1_7,4,5
case_study_1,1,uid27,6,case_study_1_1_uid27,case_study_1_1_6,5,3
case_study_1,1,uid27,8,case_study_1_1_uid27,case_study_1_1_8,3,8
case_study_1,1,uid27,9,case_study_1_1_uid27,case_study_1_1_9,3,9
case_study_1,1,uid27,10,case_study_1_1_uid27,case_study_1_1_10,4,6
case_study_1,1,uid28,1,case_study_1_1_uid28,case_study_1_1_1,4,9
case_study_1,1,uid28,2,case_study_1_1_uid28,case_study_1_1_2,5,4
case_study_1,1,uid28,3,case_study_1_1_uid28,case_study_1_1_3,3,10
case_study_1,1,uid28,4,case_study_1_1_uid28,case_study_1_1_4,5,3
case_study_1,1,uid28,5,case_study_1_1_uid28,case_study_1_1_5,4,7
case_study_1,1,uid28,6,case_study_1_1_uid28,case_study_1_1_6,5,1
case_study_1,1,uid28,7,case_study_1_1_uid28,case_study_1_1_7,4,8
case_study_1,1,uid28,8,case_study_1_1_uid28,case_study_1_1_8,5,2
case_study_1,1,uid28,9,case_study_1_1_uid28,case_study_1_1_9,4,5
case_study_1,1,uid28,10,case_study_1_1_uid28,case_study_1_1_10,4,6
case_study_1,1,uid29,1,case_study_1_1_uid29,case_study_1_1_1,4,8
